epoch,train_loss,val_loss,val_mae_6h,val_mae_12h,val_mae_24h
1,15.960310608613575,15.862828231993175,10.211186408996582,18.665082931518555,34.730796813964844
2,13.722917535119024,14.83845605547466,9.768327713012695,16.94684600830078,33.46872329711914
3,13.800392275330022,14.805259114220028,9.483394622802734,16.767276763916016,33.62769317626953
4,12.96886826914253,14.866036112346347,8.929032325744629,17.262990951538086,33.659759521484375
5,13.190889269240358,15.537173899393233,10.14309310913086,17.423904418945312,34.387298583984375
6,12.773067867840435,14.29526216264755,8.897814750671387,16.775362014770508,32.22740173339844
7,12.278338424195635,14.802645123194134,9.293562889099121,16.67684555053711,33.86053466796875
8,11.96608469536964,15.444917330666193,9.088610649108887,18.37455177307129,33.7844352722168
9,12.422236857853882,14.2786971728007,9.255117416381836,16.160968780517578,32.572052001953125
10,12.040999206921732,14.602813516344343,9.181499481201172,16.367345809936523,33.26791000366211
11,11.739338243092206,12.946846719772097,8.530538558959961,14.927631378173828,30.212190628051758
12,12.01438534242887,14.659989455389598,9.007413864135742,17.137189865112305,33.3138427734375
13,11.330700084884116,14.97285308535137,8.704967498779297,17.529878616333008,33.978675842285156
14,11.025820132857518,13.839143298921131,8.696647644042969,16.480602264404297,31.256641387939453
15,11.28254503020158,13.635034133517554,8.465677261352539,16.227426528930664,31.243572235107422
16,11.474008000827006,14.078771560911148,9.368289947509766,16.224754333496094,31.722562789916992
17,11.32337291629602,13.764075907449874,8.727967262268066,16.143068313598633,31.35807228088379
18,11.761362784635937,13.24281947196476,8.204127311706543,15.631831169128418,30.6225528717041
19,10.324256921321787,12.983209488883851,8.804300308227539,15.315996170043945,29.55165672302246
20,11.949393641695064,13.500123977661133,8.689923286437988,15.824060440063477,31.031274795532227
21,10.801356328801905,13.830716572110616,8.42455005645752,16.409103393554688,31.791046142578125
22,10.56231418230855,13.249104938809834,8.22314167022705,15.611771583557129,30.93355369567871
23,10.971910937965339,13.294593485574874,8.441865921020508,15.780282974243164,30.327028274536133
24,11.243207706965453,14.108758177076067,8.868627548217773,16.49266242980957,32.268150329589844
25,10.886381904115067,12.599732762291318,8.229835510253906,15.00174331665039,29.33449363708496
26,11.918243648312616,14.27942919352698,9.161606788635254,16.405061721801758,32.43879699707031
27,10.521415434492395,14.644870126058185,9.129659652709961,17.25131607055664,32.518409729003906
28,10.614701386039139,13.423663040948293,8.610755920410156,16.252622604370117,30.253154754638672
29,10.449744290832086,13.977524621146065,8.918642044067383,16.537601470947266,31.750398635864258
30,10.804820107652786,13.520553846207877,8.49117374420166,15.816264152526855,31.141019821166992
31,10.663766430793924,14.451030693356953,9.275068283081055,17.280176162719727,32.03432083129883
32,10.679237338668067,14.747398376464844,9.200300216674805,17.147228240966797,33.09177017211914
33,10.734362833212453,14.706844413091266,8.930956840515137,17.29697036743164,33.18510437011719
34,10.603444310452076,13.918190085698688,8.750349044799805,16.50141716003418,31.617799758911133
35,9.994476913560367,13.342125097910563,8.61131477355957,15.795966148376465,30.322717666625977
36,10.048964768859511,13.085977826799665,8.289677619934082,15.708736419677734,30.083980560302734
37,10.368024844988017,12.975160719856383,8.44500732421875,15.557023048400879,29.420560836791992
38,10.40488236812835,12.45932172215174,8.694660186767578,14.683856010437012,28.61655616760254
39,10.906363964757176,14.063391730898903,8.426203727722168,16.563413619995117,31.96103858947754
40,10.152296017585916,14.942102689591666,9.378799438476562,17.604387283325195,33.011199951171875
