epoch,train_loss,train_acc,train_wind_mae_kmph,val_loss,val_acc,val_wind_mae_kmph
1,1.96262184211186,0.2421875,49.83743231637137,1.9701838633593391,0.2867647058823529,49.19628838931813
2,1.857342147401401,0.2767857142857143,43.38948587008885,1.949294132344863,0.2867647058823529,39.661021513097424
3,1.799708319561822,0.2734375,42.326327494212556,3.698605551439173,0.25,44.91975548688103
4,1.7480099265064513,0.31919642857142855,40.331968545913696,3.1644563534680534,0.21323529411764705,43.05777179493624
5,1.7333201255117143,0.3404017857142857,38.806126151766094,1.9557914243024939,0.3014705882352941,37.714131860172046
6,1.6758652414594377,0.33370535714285715,37.98558129583086,2.048584924024694,0.22794117647058823,35.603637246524585
7,1.6168699732848577,0.36607142857142855,34.81701387677874,1.8771709904951208,0.25735294117647056,34.02141447628246
8,1.5704550998551505,0.37611607142857145,33.31820377281734,2.648446055019603,0.19117647058823528,62.627295325784125
9,1.5329754969903402,0.40066964285714285,33.28721400669643,1.9277967074338127,0.29411764705882354,32.79527226616354
10,1.4868646689823695,0.42410714285714285,31.958884818213328,1.7417643841575174,0.3088235294117647,28.01715099110323
11,1.44240652769804,0.44754464285714285,29.65734338760376,1.8955670805538403,0.2426470588235294,32.538849998922906
12,1.4862815290689468,0.40848214285714285,32.172739948545185,2.247157293207505,0.33088235294117646,32.16399518181296
13,1.418456379856382,0.45870535714285715,29.11293731416975,2.753991589826696,0.3161764705882353,31.858235920176785
14,1.4094670212694578,0.4575892857142857,29.73959251812526,2.3128182186799893,0.2867647058823529,35.40326477499569
15,1.3574541945542609,0.453125,28.38508994238717,2.482954642351936,0.3014705882352941,34.27536538067986
16,1.3460524752736092,0.47544642857142855,27.95921528339386,2.023805891766268,0.3161764705882353,32.51260690128102
17,1.3026753759809904,0.47879464285714285,27.897718259266444,2.0932663608999813,0.25,45.87297327378217
18,1.3128983091030801,0.48325892857142855,28.076599018914358,2.092108600279864,0.3382352941176471,31.41357130162856
19,1.292213713484151,0.48660714285714285,26.68826757158552,2.1519306267009064,0.25735294117647056,38.80986090267406
20,1.2204508387616702,0.5178571428571429,24.704542228153773,2.052511923453387,0.3014705882352941,31.178792168112363
21,1.2140632601720946,0.5078125,26.05195711340223,2.193878033581902,0.23529411764705882,33.57553846695844
22,1.2309052656803812,0.5044642857142857,24.793112431253707,2.0957498059553257,0.3382352941176471,31.890975278966568
23,1.143152346568448,0.5479910714285714,23.550877468926565,2.178492686327766,0.3161764705882353,34.64844535378849
24,1.17662919738463,0.5457589285714286,24.616110154560634,2.1325352332171272,0.2867647058823529,30.23720696393181
25,1.1383255209241594,0.5758928571428571,23.220237936292374,1.9120266297284294,0.40441176470588236,27.572098227108228
26,1.1241111595715796,0.5636160714285714,22.692463176591055,2.0370075281928566,0.34558823529411764,30.3239985073314
27,1.0941844657063484,0.5881696428571429,23.03885132925851,2.2258853421491733,0.27941176470588236,32.81115038254682
28,1.0793346102748598,0.5725446428571429,21.695098400115967,2.083091798950644,0.3088235294117647,30.282843084896314
29,1.0952727336968695,0.5613839285714286,22.440858432224818,2.078934473149917,0.33088235294117646,29.330921173095703
30,1.0907317101955414,0.5591517857142857,22.296837380954198,2.126418716767255,0.38235294117647056,31.46686767129337
